"","gameId","playId","down.x","yardsToGo","quarter","pass_length","pass_location","passer_player_name","pass","run_location","rusher_player_name","rush","first_down","yards_gained","posteam","defteam","week","playDescription","defendersInTheBox","numberOfPassRushers","personnel.defense","sack","interception","play_type","qbr","defRank","isBlitz","totalSacksGame","totalIntGame","avgPassRushers","totalBlitzGame","numDL","numLB","numDB"
"1",2017091004,73,1,10,1,"short","right","C.Palmer",1,NA,NA,0,0,4,"ARI","DET",1,"(14:54) (Shotgun) C.Palmer pass short right to L.Fitzgerald to ARZ 27 for 4 yards (Q.Diggs).",6,4,"4 DL, 2 LB, 5 DB",0,0,"pass",35.6,21,0,0,0,4,0,4,2,5
"2",2017091004,97,2,6,1,NA,NA,NA,0,"middle","Da.Johnson",1,0,2,"ARI","DET",1,"(14:16) Da.Johnson up the middle to ARZ 29 for 2 yards (E.Ansah).",6,NA,"4 DL, 2 LB, 5 DB",0,0,"run",35.6,21,0,0,0,4,0,4,2,5
"3",2017091004,118,3,4,1,"short","middle","C.Palmer",1,NA,NA,0,1,14,"ARI","DET",1,"(13:34) (Shotgun) C.Palmer pass short middle to Da.Johnson to ARZ 43 for 14 yards (G.Quin). FUMBLES (G.Quin), recovered by ARZ-Ja.Brown at ARZ 44. Ja.Brown to ARZ 44 for no gain (J.Agnew).",5,4,"4 DL, 1 LB, 6 DB",0,0,"pass",35.6,21,0,0,0,4,0,4,1,6
"4",2017091004,153,1,10,1,NA,NA,NA,0,"left","Da.Johnson",1,0,-2,"ARI","DET",1,"(12:51) (Shotgun) Da.Johnson left end to ARZ 42 for -2 yards (A.Zettel).",7,NA,"4 DL, 3 LB, 4 DB",0,0,"run",35.6,21,0,0,0,4,0,4,3,4
"5",2017091004,174,2,12,1,"short","right","C.Palmer",1,NA,NA,0,0,0,"ARI","DET",1,"(12:13) C.Palmer pass incomplete short right to Da.Johnson (N.Lawson). Penalty on ARZ-Da.Johnson, Offensive Pass Interference, declined.",6,4,"4 DL, 3 LB, 4 DB",0,0,"pass",35.6,21,0,0,0,4,0,4,3,4
"6",2017091004,207,3,12,1,"short","left","C.Palmer",1,NA,NA,0,0,0,"ARI","DET",1,"(12:08) (Shotgun) C.Palmer pass short left intended for Da.Johnson INTERCEPTED by T.Wilson at ARZ 49. T.Wilson to ARZ 26 for 23 yards (D.Humphries).",5,4,"4 DL, 1 LB, 6 DB",0,1,"pass",35.6,21,0,0,1,4,0,4,1,6
"7",2017091004,233,1,10,1,NA,NA,NA,0,"left","A.Abdullah",1,0,5,"DET","ARI",1,"(12:00) A.Abdullah left end ran ob at ARZ 21 for 5 yards (H.Reddick).",6,NA,"3 DL, 4 LB, 4 DB",0,0,"run",82.7,19,0,0,0,0,0,3,4,4
"8",2017091004,254,2,5,1,"short","middle","M.Stafford",1,NA,NA,0,0,0,"DET","ARI",1,"(11:29) (Shotgun) M.Stafford pass short middle intended for G.Tate INTERCEPTED by J.Bethel at ARZ 18. J.Bethel for 82 yards, TOUCHDOWN.",6,4,"2 DL, 4 LB, 5 DB",0,1,"pass",82.7,19,0,0,1,4,0,2,4,5
"9",2017091004,316,1,10,1,NA,NA,NA,0,"right","A.Abdullah",1,0,0,"DET","ARI",1,"(11:08) A.Abdullah right end to DET 15 for no gain (K.Dansby).",7,NA,"2 DL, 4 LB, 5 DB",0,0,"run",82.7,19,0,0,1,4,0,2,4,5
"10",2017091004,337,2,10,1,"short","right","M.Stafford",1,NA,NA,0,0,2,"DET","ARI",1,"(10:29) (No Huddle, Shotgun) M.Stafford pass short right to A.Abdullah to DET 17 for 2 yards (A.Bethea).",5,4,"3 DL, 3 LB, 5 DB",0,0,"pass",82.7,19,0,0,1,4,0,3,3,5
